id,question,option1,option2,option3,correctAnswer
Q1,Combien de litres d'eau un adulte doit-il boire par jour en moyenne ?,0.5 L,1 L,1.5-2 L,2
Q2,Quelle vitamine est produite par le corps grâce au soleil ?,Vitamine A,Vitamine D,Vitamine C,1
Q3,Quel est le sport le plus complet pour travailler presque tous les muscles ?,Le football,La natation,Le basketball,1
Q4,Quelle est la fréquence cardiaque normale au repos chez un adulte en bonne santé ?,30-50 battements/minute,60-100 battements/minute,120-150 battements/minute,1
Q5,Combien de minutes d'activité physique modérée par semaine recommande l'OMS ?,60 minutes,150 minutes,300 minutes,1
Q6,Quel aliment est riche en calcium ?,Le fromage,Les pâtes,Le poulet,0
Q7,Quel est le principal bienfait du sport sur le cerveau ?,Améliorer la mémoire et réduire le stress,Faire pousser les cheveux,Changer la couleur des yeux,0
Q8,Quelle est la meilleure boisson après un effort sportif ?,Un soda,L'eau,Le café,1
Q9,Quel est le muscle le plus puissant du corps humain ?,Le biceps,Le quadriceps,Le masséter (mâchoire),2
Q10,Quel est l'organe principalement affecté par le tabagisme ?,Le cœur,Les poumons,Le foie,1
Q11,Quelle est la durée moyenne d'une nuit de sommeil recommandée pour un adulte ?,4-5 heures,7-8 heures,10-12 heures,1
Q12,Quel minéral est essentiel pour éviter les crampes musculaires ?,Le magnésium,Le fer,Le zinc,0
Q13,Quel est le sport le plus pratiqué dans le monde ?,Le basketball,Le football,Le tennis,1
Q14,Quelle hormone appelée aussi « hormone du bonheur » est libérée après une activité sportive ?,L'adrénaline,La sérotonine,Les endorphines,2
Q15,Quel est l'indice utilisé pour mesurer l'équilibre entre le poids et la taille ?,L'IMC (Indice de Masse Corporelle),Le rythme cardiaque,Le taux de glycémie,0
Q16,Quelle boisson est déconseillée avant une compétition sportive ?,L'eau,Le jus de fruits,Le café fort,2
Q17,Quelle est la température normale du corps humain ?,36-37 °C,34-35 °C,38-39 °C,0
Q18,Quel sport est le plus recommandé pour les personnes souffrant de problèmes articulaires ?,Course à pied,Natation,Rugby,1
Q19,Quelle est la principale fonction des globules rouges ?,Transporter l'oxygène,Lutter contre les infections,Aider à la digestion,0
Q20,Quel est le principal risque d'une consommation excessive de sucre ?,Le diabète,L'anémie,La perte de mémoire,0
Q21,Quel organe filtre le sang pour éliminer les déchets et toxines ?,Le cœur,Le foie,Les reins,2
Q22,Quel sport est considéré comme un mélange de cardio danse et fitness ?,Yoga,Zumba,Boxe,1
Q23,Quelle est la durée idéale d'un échauffement avant une activité sportive ?,2 minutes,10 minutes,30 minutes,1
Q24,Quel nutriment est la principale source d'énergie pour le corps ?,Les protéines,Les glucides,Les lipides,1
